Image name,Contrast,Dissimiliarity,Homogeneity,Energy,Correlation,ASM,Target
TD4.jpg,46.53427628102226,3.6107474831811714,0.3638489793521304,0.023635977841723065,0.988946846069004,0.0005586594485344237,0
L48.jpg,9.171076381245872,2.025807469366791,0.41960214944315766,0.024408393359387586,0.9985693772611564,0.000595769666386596,1
L21.jpg,32.55015018292423,3.3712128042212557,0.3510759732347458,0.031962759926978626,0.9900872917398155,0.0010216180221496707,1
L73.jpg,11.36917403801544,2.197795243418571,0.40111020870652675,0.03170390049586373,0.9967340165257379,0.0010051373066516287,1
TD21.jpg,56.62925717727927,3.978991028928677,0.35586467384284026,0.028144214340355612,0.9770957194203923,0.0007920968008358786,0
TD7.jpg,50.730933671300114,4.359443334119493,0.2942842085313639,0.023946707440697906,0.9907809459187686,0.0005734447972503765,0
L71.jpg,9.754461031991077,2.0837037450709044,0.4123652176471041,0.03221651032442334,0.9966516551087828,0.0010379035374836758,1
TD25.jpg,11.498635351212766,2.0198242670007103,0.46047472292457914,0.02979374691005752,0.9980755777792775,0.0008876673549405619,0
L68.jpg,18.948759952089063,2.8860846896357364,0.34686211337293715,0.030521097335047057,0.9962376664536189,0.0009315373825354166,1
TD15.jpg,28.114391966610768,2.885061058989999,0.40149367205471176,0.029262669382813678,0.989886202300225,0.000856303819407861,0
L84.jpg,8.194957878147976,1.9903255905318464,0.40893638997764475,0.028418275399692727,0.9976924043347036,0.0008075983766927809,1
L50.jpg,16.593803006103833,2.6711841795738476,0.3463575201984632,0.026707614337537967,0.9955495573417593,0.0007132966636026637,1
L39.jpg,24.67813004672481,2.874256987881502,0.360828910420867,0.02751139651625891,0.9954023540609129,0.000756876938274823,1
L15.jpg,32.32517475191788,3.092304519896741,0.3893896433765243,0.03206513616429707,0.9856900745306262,0.0010281729572349117,1
L64.jpg,10.206646798209555,2.0407006485795196,0.4195859795999558,0.03327960391602097,0.9964653109973195,0.0011075320368072383,1
L88.jpg,65.05650641781628,4.368583443707275,0.343770040689272,0.026427265390508662,0.9850509825468592,0.0006984003560203769,1
L23.jpg,16.09072604076293,2.3858429754076425,0.4153305700926422,0.02888854632341565,0.9951667953082715,0.0008345481086801319,1
L43.jpg,10.399232802983807,1.977235887509246,0.4381887047196339,0.028448805653033076,0.9977934166110065,0.0008093345430840468,1
